#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTOPTA69042;This is all I have got...;C'est tout ce que j'ai...;Dies ist alles, was ich habe ...;;Eso es todo lo que he conseguido...;;;;;;;;;x
EVTOPTB69042;I don't care if everyone knows about this!;Peu importe que tout le monde l'apprenne !;Es kümmert mich nicht, wenn alle hiervon wüssten!;;¡Me da igual que alguien lo sepa!;;;;;;;;;x
EVTDESC69044;A child has gone missing and it seems as if everyone suspects me to have something to do with that. Apparently being a suspected sorcerer everyone believes I might use the entrails of children to read the future. Pah!;Un enfant a disparu et, visiblement, tout le monde pense que j'y suis pour quelque chose. Mon soi-disant goût pour les sciences occultes pousserait chacun à me croire capable d'utiliser les entrailles des enfants pour lire l'avenir. Pah !;Ein Kind ist verschwunden, und anscheinend macht jedermann mich dafür verantwortlich. Als vermeintlichem Okkultisten wird mir wohl zugetraut, die Innereien von Kindern zum Lesen der Zukunft zu verwenden. Pfui!;;Un niño ha desaparecido y todos sospechan que yo he tenido algo que ver. Parece que al ser un supuesto ocultista creen que podría usar sus vísceras para leer el futuro. ¡Bah!;;;;;;;;;x
EVTOPTA69044;I ignore the talk;Je n'ai que faire de ces ragots !;Ich ignoriere das Gerede;;Ignoro los rumores;;;;;;;;;x
EVTOPTB69044;I attempt to clear my name;Je tente de me disculper.;Ich versuche, meinen Namen reinzuwaschen;;Intento limpiar mi nombre;;;;;;;;;x
EVTDESC69045;The voice woke me up, whispering about spells to awaken the dead, curses to make your enemy go blind and potions to make anyone fall in love with you...;J'ai été réveillé(e) par une voix qui chuchotait à mon oreille des sorts pour réveiller les morts, des malédictions pour aveugler l'ennemi et des potions pour susciter l'amour...;Die Stimme weckte mich auf. Sie flüsterte etwas über Zauber zum Erwecken der Toten, Flüche zum Erblinden von Feinden und Tränke, die einen unwiderstehlich machen ...;;Me despertó una voz que me susurraba hechizos para despertar a los muertos, maldiciones para cegar a tus enemigos y pociones para enamorar a otra persona...;;;;;;;;;x
EVTOPTA69045;I hope I can remember all of this!;J'espère pouvoir me souvenir de tout ça !;Hoffentlich kann ich mir das alles merken!;;¡Espero poder recordarlo todo!;;;;;;;;;x
EVTOPTB69045;I ignore the voice and go back to sleep;J'ignore cette voix et je me rendors.;Ich ignoriere die Stimme und schlafe weiter;;Ignoro la voz y me vuelvo a dormir;;;;;;;;;x
EVTDESC69046;The priest talked sternly to me, clearly avoiding to bring up the dark rumor of sorcery but as I just nodded and accepted all he told me without admitting to anything, he lost his patience with me. He scolded me and told me to stop fiddling with necromancy and black magic and something else because it was "dangerous"...;Mon confesseur m'a parlé sévèrement, évitant clairement d'évoquer cette rumeur à propos des sciences occultes, mais alors que j'acquiesçais à tout ce qu'il disait, il a perdu patience. Il m'a réprimandé(e), m'a demandé de me repentir et de ne plus m'adonner aux sciences occultes...;Mein Beichtvater sprach mit strenger Stimme und versuchte eindeutig, nicht auf die Gerüchte einzugehen, dass ich ein Okkultist sei. Als ich aber nickte und all seine Worte ohne jegliche Zugeständnisse akzeptierte, verlor er die Geduld mit mir: Er schimpfte mich und befahl mir, Buße zu tun und das Manipulieren mit dem Okkulten einzustellen. Sonst, so sagte er, würde es was setzen ...;;Mi confesor me habló con dureza evitando mencionar el rumor sobre el ocultismo, pero cuando me limité a asentir y aceptar lo que me decía sin admitirlo, perdió la paciencia. Me riñó y me dijo que me arrepintiese y dejase de tratar con lo oculto o lo que fuera...;;;;;;;;;x
EVTOPTA69046;You are right, I will never fiddle with sorcery again!;Je me repens. Plus jamais je ne m'adonnerai aux sciences occultes !;Ich bereue es. Ich werde mich nie wieder mit dem Okkulten einlassen!;;¡Me arrepiento, no volveré a tratar con lo oculto!;;;;;;;;;x
EVTOPTB69046;Magic is only "dangerous" if you don't know what you're doing!;Et alors ? Ce ne sont que des rumeurs !;Sonst was? Ihr habt nichts außer Gerüchten!;;¿O qué? ¡No tienes más que rumores!;;;;;;;;;x
EVTDESC69047;I had only managed to remember one of the many spells and invocations the voice had whispered to me in the dark. It was long and complicated with many different ingredients, not all easy to acquire...;Je n'ai retenu qu'un des nombreux sorts et invocations murmurés par la voix. Ils étaient longs et compliqués, avec des tas d'ingrédients différents pas faciles à trouver...;Ich hatte mir nur einen der vielen Zauber und Beschwörungen merken können, die mir die Stimme im Dunkeln zugeflüstert hatte. Ein langer und komplizierter Zauber mit vielen Zutaten, die nicht alle einfach zu beschaffen waren ...;;Solo logré recordar uno de los muchos hechizos e invocaciones que me susurró la voz. Era largo y complejo, con muchos ingredientes, y no todos fáciles de conseguir...;;;;;;;;;x
EVTOPTA69047;This spell will benefit me;Ce sort me sera utile.;Dieser Zauber wird mir zum Vorteil gereichen;;Este hechizo me beneficiará;;;;;;;;;x
EVTOPTB69047;I must stop doing this;Je dois abjurer mes actes.;Ich muss für meine Handlungen Abbitte leisten;;Debo retractarme de mis actos;;;;;;;;;x
EVTOPTC69047;The priests are after me, save me!;L'Église m'en veut, sauvez-moi !;Hilfe, die Kirche verfolgt mich!;;¡La iglesia me persigue, sálvame!;;;;;;;;;x
EVTDESC69050;The diplomatic skill of [Root.GetChancellorName] [Root.job_chancellor.GetTitledFirstName] is deplorable! No matter what task I give [Root.job_chancellor.GetHerHim] [Root.job_chancellor.GetSheHe] always manage to disappoint.;Les compétences diplomatiques du [Root.GetChancellorName] [Root.job_chancellor.GetTitledFirstName] sont déplorables ! Quelle que soit la mission que je lui confie, je suis systématiquement déçu(e).;Die Diplomatiefähigkeit von [Root.GetChancellorName] [Root.job_chancellor.GetTitledFirstName] ist bedauernswert! Ungeachtet der [Root.job_chancellor.GetHerHim] zugeteilten Aufgabe schafft [Root.job_chancellor.GetSheHe] es immer wieder, mich zu enttäuschen.;;¡La capacidad diplomática del [Root.GetChancellorName] [Root.job_chancellor.GetTitledFirstName] es deplorable! Le encargue lo que le encargue, [Root.job_chancellor.GetSheHe] siempre se las arregla para decepcionarme.;;;;;;;;;x
EVTOPTA69050;You are not good enough, you have to shape up!;Vos compétences laissent à désirer. Ressaisissez-vous !;Ihr seid nicht gut genug und müsst Euch verbessern!;;¡No eres lo bastante bueno, debes mejorar!;;;;;;;;;x
EVTTOOLTIP69051;[Root.job_chancellor.GetTitledFirstName] is chastised about [Root.job_chancellor.GetHerHis] lack of diplomatic skill;[Root.job_chancellor.GetTitledFirstName] se voit reprocher son manque de compétences diplomatiques.;[Root.job_chancellor.GetTitledFirstName] wird wegen seiner mangelnden Diplomatiefähigkeit von [Root.job_chancellor.GetHerHis] gescholten;;[Root.job_chancellor.GetTitledFirstName] es reprendido por su falta de capacidad diplomática;;;;;;;;;x
EVTOPTB69050;I don't trust [Root.job_chancellor.GetTitledFirstName] to do a good job;Je doute que [Root.job_chancellor.GetTitledFirstName] puisse faire du bon travail.;Ich traue [Root.job_chancellor.GetTitledFirstName] keine gute Arbeit zu;;No confío en que [Root.job_chancellor.GetTitledFirstName] haga un buen trabajo;;;;;;;;;x
EVTOPTC69050;[Root.job_chancellor.GetTitledFirstName] lack of diplomatic skill has cost me dearly!;[Root.job_chancellor.GetTitledFirstName] paiera cher son incompétence !;[Root.job_chancellor.GetTitledFirstName]s mangelnde Diplomatiefähigkeit ist mir teuer zu stehen gekommen!;;¡He pagado muy cara la poca habilidad diplomática de [Root.job_chancellor.GetTitledFirstName]!;;;;;;;;;x
EVTDESC69051;[From.GetTitledFirstName] claims my diplomatic skill is deplorable! No matter how hard I work, [From.GetTitledFirstName] is never satisfied and [From.GetHerHis] demands are preposterous!;[From.GetTitledFirstName] déplore mes piètres compétences diplomatiques ! Quoi que je fasse, [From.GetTitledFirstName] n'est jamais satisfait(e) et ses exigences sont grotesques !;[From.GetTitledFirstName] behauptet, meine Diplomatiefähigkeit sei bedauernswert! Ganz gleich wie hart ich arbeite, [From.GetTitledFirstName] ist niemals zufrieden. [From.GetHerHis] Forderungen sind absurd!;;¡[From.GetTitledFirstName] dice que mi capacidad diplomática es deplorable! ¡No importa lo que me esfuerce, [From.GetTitledFirstName] nunca está satisfecho y sus exigencias son ridículas!;;;;;;;;;x
EVTOPTA69051;[From.GetTitledFirstName] does not appreciate me...;[From.GetTitledFirstName] ne m'apprécie guère...;[From.GetTitledFirstName] schätzt mich nicht ...;;[From.GetTitledFirstName] no me valora...;;;;;;;;;x
EVTDESC69052;I have to trust [Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName] to train my troops and to be able to suppress revolts but [Root.job_marshal.GetSheHe] has not proved to be adept in those manners. [Root.job_marshal.GetTitledFirstName] have to shape up or I need to find another Marshal.;Je dois faire confiance au Maréchal [Root.job_marshal.GetTitledFirstName] pour entraîner mes troupes et mater les révoltes, mais [Root.job_marshal.GetSheHe] ne semble pas à la hauteur. [Root.job_marshal.GetTitledFirstName] doit se ressaisir, à défaut de quoi, il me faudra trouver un autre Maréchal.;Ich muss darauf vertrauen können, dass Marschall [Root.job_marshal.GetTitledFirstName] meine Truppen ausbilden und Revolten niederschlagen kann, aber [Root.job_marshal.GetSheHe] hat sich in diesen Belangen als unerfahren herausgestellt. [Root.job_marshal.GetTitledFirstName] muss sich bessern, sonst ist es an der Zeit, einen anderen Marschall finden.;;Debo confiar en el Alguacil [Root.job_marshal.GetTitledFirstName] para entrenar a mis tropas y sofocar revueltas pero [Root.job_marshal.GetSheHe] no ha demostrado su experiencia en estas materias. [Root.job_marshal.GetTitledFirstName] debe mejorar o buscaré a otro Alguacil.;;;;;;;;;x
EVTOPTA69052;Shape up or you're out of a job!;Ressaisissez-vous ou je vous relève de vos fonctions !;Bessert Euch, sonst müsst Ihr gehen!;;¡Mejora o te despido!;;;;;;;;;x
EVTTOOLTIP69053;[Root.job_marshal.GetTitledFirstName] is chastised about [Root.job_marshal.GetHerHis] lack of martial skill;[Root.job_marshal.GetTitledFirstName] se voit reprocher son manque de compétences martiales.;[Root.job_marshal.GetTitledFirstName] wird wegen seiner mangelnden Kriegskunstfähigkeit von [Root.job_marshal.GetHerHis] gescholten;;[Root.job_marshal.GetTitledFirstName] es reprendido por su falta de habilidad militar;;;;;;;;;x
EVTOPTB69052;I don't think [Root.job_marshal.GetTitledFirstName] is the right [Root.job_marshal.GetManWoman] for this job;Je doute que [Root.job_marshal.GetTitledFirstName] soit la bonne personne pour ce travail.;Ich glaube nicht, dass [Root.job_marshal.GetTitledFirstName] für diese Arbeit geeignet ist;;No creo que [Root.job_marshal.GetTitledFirstName] sea la persona adecuada para este trabajo;;;;;;;;;x
EVTOPTC69052;I might be persuaded to let you keep your job...;Vous allez devoir me convaincre de ne pas vous relever de vos fonctions...;Hmmh, vielleicht lasse ich Euch doch im Amt ...;;Se me podría convencer para mantenerte en el puesto...;;;;;;;;;x
EVTDESC69053;I know I have failed [From.GetTitledFirstName]'s expectations for what a [Root.GetMarshalName] should be able to do, but if only [From.GetSheHe] could give me a chance I would show [From.GetHerHim] that I do not lack in martial skill!;En tant que Maréchal, je sais que je n'ai pas répondu aux attentes de [From.GetTitledFirstName], mais si seulement [From.GetSheHe] pouvait me donner ma chance, je lui montrerais que j'ai de réelles compétences martiales !;Ich weiß, dass ich [From.GetTitledFirstName]s Erwartungen dessen, was ein Marschall zu können hat, nicht entspreche. Wenn [From.GetSheHe] mir aber eine Chance gäbe, würde ich [From.GetHerHim] zeigen, dass es mir nicht an Kriegskunstfähigkeit mangelt!;;¡Sé que no he cumplido las expectativas de [From.GetTitledFirstName] respecto a lo que debería hacer un Alguacil, pero si [From.GetSheHe] me diese una oportunidad le demostraría que no me falta habilidad militar!;;;;;;;;;x
EVTOPTA69053;I will make you appreciate me, [From.GetTitledFirstName]!;Vous allez m'apprécier, [From.GetTitledFirstName] !;[From.GetTitledFirstName], Ihr werdet mich zu schätzen lernen!;;¡Conseguiré que me valores, [From.GetTitledFirstName]!;;;;;;;;;x
EVTDESC69054;I sent [Root.GetStewardName] [Root.job_treasurer.GetTitledFirstName] to oversee construction in a province - and the building fell apart almost instantly. Then I sent him to collect taxes in one of the richest provinces and [Root.job_treasurer.GetSheHe] returned with much less than I had anticipated. [Root.job_treasurer.GetTitledFirstName] clearly lacks the stewardship skill needed to perform even the simplest of tasks!;J'ai demandé à l'Intendant [Root.job_treasurer.GetTitledFirstName] de superviser une construction provinciale et le bâtiment s'est effondré presque instantanément. Ensuite, je lui ai demandé de percevoir des impôts dans une des plus riches provinces et [Root.job_treasurer.GetSheHe] est revenu(e) avec beaucoup moins que j'espérais. [Root.job_treasurer.GetTitledFirstName] ne dispose pas de suffisamment de compétences d'intendance pour mener à bien les missions les plus simples !;Ich schickte Verwalter [Root.job_treasurer.GetTitledFirstName] zur Bauaufsicht in eine Provinz - und das Gebäude fiel fast augenblicklich zusammen. Dann schickte ich ihn zum Steuern eintreiben in eine der reichsten Provinzen, und [Root.job_treasurer.GetSheHe] kehrte mit viel weniger zurück, als ich erwartet hatte. [Root.job_treasurer.GetTitledFirstName] mangelt es selbst zur Ausführung der einfachsten Aufgaben an Verwaltungsfähigkeit!;;Envié al Mayordomo [Root.job_treasurer.GetTitledFirstName] a supervisar la construcción en una provincia y el edificio se vino abajo casi de inmediato. Luego le mandé a recaudar impuestos en una de las provincias más ricas y [Root.job_treasurer.GetSheHe] volvió con mucho menos de lo esperado. ¡[Root.job_treasurer.GetTitledFirstName] carece de la responsabilidad necesaria para realizar incluso la tarea más sencilla!;;;;;;;;;x
EVTOPTA69054;Not good enough!;C'est insuffisant !;Nicht gut genug!;;¡No es lo bastante bueno!;;;;;;;;;x
EVTTOOLTIP69055;[Root.job_treasurer.GetTitledFirstName] is chastised about [Root.job_treasurer.GetHerHis] lack of stewardship;[Root.job_treasurer.GetTitledFirstName] se voit reprocher son inaptitude pour l'intendance.;[Root.job_treasurer.GetTitledFirstName] wird wegen seiner mangelnden Verwaltungsfähigkeit von [Root.job_treasurer.GetHerHis] gescholten;;[Root.job_treasurer.GetTitledFirstName] es reprendido por su falta de responsabilidad;;;;;;;;;x
EVTOPTB69054;I can't say I trust [Root.job_treasurer.GetTitledFirstName];Je n'ai guère confiance en [Root.job_treasurer.GetTitledFirstName].;Ich kann nicht behaupten, [Root.job_treasurer.GetTitledFirstName] zu trauen;;No puedo decir que confíe en [Root.job_treasurer.GetTitledFirstName];;;;;;;;;x
